"","device_id","id_type","latitude","longitude","horizontal_accuracy","timestamp","ip_address","device_os","os_version","user_agent","country","source_id","publisher_id","app_id","location_context","geohash"
"10101","68DC8FBC-493C-4544-82CB-0CA2A1F5115E","idfa",29.751883,-95.457375,1414,1.6e+12,"12.51.20.8","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"9vk17b4j3bys"
"16540","5a7ea1ac-c69c-4474-be30-ca062b31715e","aaid",37.19452,-87.18072,16,1.6e+12,"104.176.250.94","Android","","","US",30,"8956aa3a69b183665fe3e66cf003d10a1a60929e0a477e0cc69a154cbe66a003","",1,"dnd585hcy0ck"
"4317","4A425E1D-0A67-4988-86AA-ED01D4A20F45","idfa",33.8336,-84.3797,81,1.6e+12,"99.144.172.158","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dn5brzhx42p8"
"14321","CFAD225D-AFB0-4629-9A9B-EABBCB515366","idfa",33.485264,-112.22286,6,1.6e+12,"104.227.193.134","iOS","","","US",24,"79181a105bb9a94374311e2cd3400f2a","f9f081a9eb245f3984c22a55d634808e",NA,"9tbnqrcccc8g"
"20815","4295780c-50a1-470f-8331-a93458e13e7e","aaid",36.002,-80.0004,100,1.6e+12,"172.56.4.92","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dnrhg9cqzeh8"
"19995","C75A34A5-29A3-47D6-AF17-65E23F6D0541","idfa",40.76796,-73.98945,5,1.6e+12,"100.1.11.65","iOS","","","US",24,"79181a105bb9a94374311e2cd3400f2a","f9f081a9eb245f3984c22a55d634808e",NA,"dr5rumdd8fkr"
"15111","53693688-6c72-490c-9098-dec2b0bb2193","aaid",39.096428,-94.662155,6,1.6e+12,"104.37.31.147","Android","","","US",30,"31bcca818c030515d9672e63bbedcbafdaf19a95b92c5cf1248013f15678f4eb","",1,"9yuwmvm15ymh"
"2929","b0a9768c-862f-419e-9440-7c24e64144a7","aaid",40.83,-82.04,100,1.6e+12,"71.213.191.213","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dpm8m0uk12j8"
"22626","5929aead-3764-4c9e-85d1-49e647c584fc","aaid",42.12134,-71.03085,21,1.6e+12,"100.0.116.252","Android","","","US",30,"e8166e0646456c5bbdb1da26580801f61a045cecb83045bf7a2c4f6077b148ac","",1,"drmrxeuyt5hy"
"340","01B79400-E0B6-43AD-9F2D-F53D2E358F21","idfa",32.807934,-83.67271,65,1.6e+12,"107.77.237.140","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"dju6xux2hd5u"
